location_key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd
KY,82.19024,,6.8,,,,,,,,,,
KZ,73.15,24.0,6.1,8.8,220.812,94.435,62.7,26.8,,7.2936,,279.645325,92.70096600000001
LA,67.61,28.9,6.4,37.6,205.59,156.747,188.5,27.0,,0.9522,0.3726,62.12463399999999,28.691247999999998
LB,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.4434809999999,238.990112
LC,76.057,,11.6,14.9,174.722,97.18700000000001,30.0,18.8,,3.1547,0.6409,460.06881699999997,205.89505
LI,83.1,,9.4,,,,,,,,,,
LK,76.812,13.0,10.7,6.4,151.16,56.065,79.8,17.4,,2.1803,1.0041,159.48474099999999,79.356094
LR,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,,0.5321,0.0376,56.599030000000006,25.756157
LS,53.705,26.7,4.5,65.7,545.675,419.36300000000006,177.6,26.6,,3.2567,,104.55279499999999,17.400345
LT,76.0,28.8,3.8,3.3,212.885,78.821,34.0,20.7,,9.8472,6.3528,1078.179199,347.96954300000004
LU,82.3,23.5,5.0,1.9,66.343,41.193000000000005,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414
LV,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.3523560000001,390.632446
LY,72.72399999999999,,10.2,10.2,179.56599999999997,99.334,71.9,20.1,,6.5305,2.0905,,
MA,76.453,23.4,7.0,19.2,72.327,62.159,49.1,12.4,,1.3887,0.7308,161.010864,86.843163
MC,,,2.9,2.6,,,,,,,,2932.421875,201.98048400000002
MD,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,,4.9235,3.2066,191.185776,83.424835
ME,76.9,45.9,9.0,2.3,125.094,65.97,78.6,20.6,,5.2294,2.7557,,
MG,66.681,,4.5,38.2,232.545,181.739,159.6,22.9,,0.146,,24.670837,6.090098
MH,65.23902,,30.5,27.4,,,,,,3.339,,642.199158,79.719673
MK,76.7,,9.3,8.7,119.81,63.418,82.2,20.3,,3.7917,2.8736,328.4198,104.784355
ML,58.893,12.3,2.4,62.0,263.613,244.75599999999997,209.1,24.6,,0.3585,0.1286,31.378104999999998,11.017797
MM,66.867,20.3,3.9,36.8,247.696,149.971,156.4,24.2,,0.9993,0.677,58.04395699999999,44.247471000000004
MN,69.689,25.6,4.7,14.0,288.357,123.17299999999999,155.9,30.2,,3.8938,2.8592,148.784454,47.837875
MO,84.118,,4.3,,58.271,24.487,,,,,,,
MR,64.704,,7.1,51.5,218.359,176.149,169.5,18.1,,0.9252,0.1865,48.817130999999996,24.186684
MT,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,,9.4833,2.8598,2585.563965,898.581482
MU,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.699768,293.04717999999997
